 format: day,hour,forecast,value  location:97_75 Start : 20250101 
 2,1100,+18,20.000000 
 2,1100,+19,20.000000 
 2,1100,+20,20.000000 
 2,1100,+21,25.000000 
 2,1100,+22,30.000000 
 2,1100,+23,35.000000 
 2,1100,+24,35.000000 
 2,1100,+25,40.000000 
 2,1100,+26,40.000000 
 2,1100,+27,45.000000 
 2,1100,+28,45.000000 
 2,1100,+29,55.000000 
 2,1100,+30,65.000000 
 2,1100,+31,65.000000 
 2,1100,+32,70.000000 
 2,1100,+33,65.000000 
 2,1100,+34,65.000000 
 2,1100,+35,60.000000 
 2,1100,+36,60.000000 
 2,1100,+37,50.000000 
 2,1100,+38,40.000000 
 2,1100,+39,35.000000 
 2,1100,+40,35.000000 
 2,1100,+41,30.000000 
 2,1100,+42,30.000000 
 2,1100,+43,35.000000 
 2,1100,+44,35.000000 
 2,1100,+45,40.000000 
 2,1100,+46,45.000000 
 2,1100,+47,50.000000 
 2,1100,+48,55.000000 
 2,1100,+49,55.000000 
 2,1100,+50,55.000000 
 2,1100,+51,55.000000 
 2,1100,+52,60.000000 
 2,1100,+53,60.000000 
 2,1100,+54,65.000000 
 2,1100,+55,65.000000 
 2,1100,+56,65.000000 
 2,1100,+57,65.000000 
 2,1100,+58,65.000000 
 2,1100,+59,60.000000 
 2,1100,+60,65.000000 
 2,1100,+61,60.000000 
 2,1100,+62,50.000000 
 2,1100,+63,50.000000 
 2,1100,+64,50.000000 
 2,1100,+65,50.000000 
 2,1100,+66,50.000000 
 2,1100,+67,55.000000 
 2,1100,+68,60.000000 
 2,1100,+69,70.000000 
 2,1100,+70,75.000000 
 2,1100,+71,80.000000 
 2,1100,+72,75.000000 
 2,1100,+73,80.000000 
 2,1100,+74,80.000000 
 2,1100,+75,85.000000 
 2,1100,+76,85.000000 
 2,1100,+79,85.000000 
 2,1100,+82,90.000000 
 2,1100,+85,85.000000 
 2,1100,+88,65.000000 
 2,1100,+91,50.000000 
 2,1100,+94,60.000000 
 2,1100,+97,65.000000 
 2,1100,+100,65.000000 
 2,1400,+6,35.000000 
 2,1400,+7,40.000000 
 2,1400,+8,40.000000 
 2,1400,+9,40.000000 
 2,1400,+10,35.000000 
 2,1400,+11,30.000000 
 2,1400,+12,20.000000 
 2,1400,+13,20.000000 
 2,1400,+14,15.000000 
 2,1400,+15,20.000000 
 2,1400,+16,20.000000 
 2,1400,+17,20.000000 
 2,1400,+18,25.000000 
 2,1400,+19,30.000000 
 2,1400,+20,35.000000 
 2,1400,+21,35.000000 
 2,1400,+22,40.000000 
 2,1400,+23,40.000000 
 2,1400,+24,45.000000 
 2,1400,+25,45.000000 
 2,1400,+26,55.000000 
 2,1400,+27,65.000000 
 2,1400,+28,65.000000 
 2,1400,+29,70.000000 
 2,1400,+30,65.000000 
 2,1400,+31,65.000000 
 2,1400,+32,60.000000 
 2,1400,+33,60.000000 
 2,1400,+34,50.000000 
 2,1400,+35,40.000000 
 2,1400,+36,35.000000 
 2,1400,+37,35.000000 
 2,1400,+38,30.000000 
 2,1400,+39,30.000000 
 2,1400,+40,35.000000 
 2,1400,+41,35.000000 
 2,1400,+42,40.000000 
 2,1400,+43,45.000000 
 2,1400,+44,50.000000 
 2,1400,+45,55.000000 
 2,1400,+46,55.000000 
 2,1400,+47,55.000000 
 2,1400,+48,55.000000 
 2,1400,+49,60.000000 
 2,1400,+50,60.000000 
 2,1400,+51,65.000000 
 2,1400,+52,65.000000 
 2,1400,+53,65.000000 
 2,1400,+54,65.000000 
 2,1400,+55,65.000000 
 2,1400,+56,60.000000 
 2,1400,+57,65.000000 
 2,1400,+58,60.000000 
 2,1400,+59,50.000000 
 2,1400,+60,50.000000 
 2,1400,+61,50.000000 
 2,1400,+62,50.000000 
 2,1400,+63,50.000000 
 2,1400,+64,55.000000 
 2,1400,+65,60.000000 
 2,1400,+66,70.000000 
 2,1400,+67,75.000000 
 2,1400,+68,80.000000 
